SIG_ENG_NM
Goseong-gun2
Inje-gun1
Cheorwon-gun
Yanggu-gun
Hwacheon-gun
Yeoncheon-gun
Sokcho-si
Pocheon-si
Yangyang-gun
Chuncheon-si
Gapyeong-gun
Paju-si
Ongjin-gun
Dongducheon-si
Hongcheon-gun
Yangju-si
Gangneung-si
Ganghwa-gun
Pyeongchang-gun
Uijeongbu-si
Namyangju-si
Gimpo-si
Goyang-si
Seoul-si
Hoengseong-gun
Yangpyeong-gun
Guri-si
Incheon-si
Donghae-si
Hanam-si
Jeongseon-gun
Bucheon-si
Gwangju-si2
Ulleung-gun
Wonju-si
Gwangmyeong-si
Siheung-si
Seongnam-si
Samcheok-si
Gwacheon-si
Anyang-si
Yeoju-si
Uiwang-si
Yeongwol-gun
Gunpo-si
Ansan-si
Yongin-si
Icheon-si
Suwon-si
Taebaek-si
Hwaseong-si
Jecheon-si
Chungju-si
Osan-si
Anseong-si
Eumseong-gun
Danyang-gun
Pyeongtaek-si
Uljin-gun
Bonghwa-gun
Yeongju-si
Dangjin-si
Jincheon-gun
Seosan-si
Cheonan-si
Taean-gun
Goesan-gun
Asan-si
Yeongyang-gun
Mungyeong-si
Jeungpyeong-gun
Yecheon-gun
Andong-si
Yesan-gun
Cheongju-si
Sejong-si
Gongju-si
Hongseong-gun
Yeongdeok-gun
Sangju-si
Boeun-gun
Cheongsong-gun
Cheongyang-gun
Uiseong-gun
Boryeong-si
Daejeon-si
Okcheon-gun
Buyeo-gun
Gumi-si
Gyeryong-si
Nonsan-si
Pohang-si
Gunwi-gun
Yeongdong-gun
Geumsan-gun
Gimcheon-si
Seocheon-gun
Yeongcheon-si
Iksan-si
Wanju-gun
Gunsan-si
Chilgok-gun
Gyeongju-si
Muju-gun
Seongju-gun
Jinan-gun
Daegu-si
Gyeongsan-si
Dalseong-gun
Gimje-si
Geochang-gun
Jeonju-si
Goryeong-gun
Cheongdo-gun
Jangsu-gun
Hapcheon-gun
Buan-gun
Imsil-gun
Hamyang-gun
Jeongeup-si
Ulju-gun
Changnyeong-gun
Ulsan-si
Miryang-si
Gochang-gun
Sancheong-gun
Namwon-si
Sunchang-gun
Yangsan-si
Uiryeong-gun
Jangseong-gun
Damyang-gun
Yeonggwang-gun
Haman-gun
Gimhae-si
Changwon-si
Gijang-gun
Gurye-gun
Jinju-si
Gokseong-gun
Hadong-gun
Busan-si
Gwangju-si1
Hampyeong-gun
Hwasun-gun
Suncheon-si
Gwangyang-si
Sacheon-si
Muan-gun
Sinan-gun
Goseong-gun1
Naju-si
Geoje-si
Boseong-gun
Tongyeong-si
Yeongam-gun
Namhae-gun
Yeosu-si
Jangheung-gun
Mokpo-si
Goheung-gun
Gangjin-gun
Haenam-gun
Jindo-gun
Wando-gun
Jeju-si
Seogwipo-si
